title,price_sale,price_base,brand,cpu_brand,cpu_detail,cpu_cores,cpu_threads,ram_size,storage_size,storage_type,screen_size,raw_specs_count,price_sale_clean,brand_score,cpu_gen,cpu_performance_score,cpu_brand_Intel,cpu_brand_AMD,cpu_brand_Apple,ram_type_DDR3,ram_type_DDR3L,ram_type_DDR4,ram_type_DDR4X,ram_type_DDR4X4266MHZ,ram_type_DDR5,ram_type_DDR5X,ram_type_DDR6,ram_type_RAM_TYPE,gpu_info,screen_res,screen_tech,battery,gpu_brand,gpu_vram,gpu_class,gpu_brand_te,gpu_class_te,screen_brightness_nits,screen_srgb_percent,screen_ntsc_percent,screen_anti_glare,battery_wh,battery_cells,screen_res_cleaned,screen_res_cleaned_1080x1920,screen_res_cleaned_1200x1920,screen_res_cleaned_1366x768,screen_res_cleaned_1440x2560,screen_res_cleaned_1600x2560,screen_res_cleaned_1920x1080,screen_res_cleaned_1920x1200,screen_res_cleaned_1920x1280,screen_res_cleaned_2048x1280,screen_res_cleaned_2160x1350,screen_res_cleaned_2160x1440,screen_res_cleaned_2160x3840,screen_res_cleaned_2240x1400,screen_res_cleaned_2256x1504,screen_res_cleaned_2560x1080,screen_res_cleaned_2560x1440,screen_res_cleaned_2560x1600,screen_res_cleaned_2880x1620,screen_res_cleaned_2880x1800,screen_res_cleaned_2880x1920,screen_res_cleaned_3000x1876,screen_res_cleaned_3000x2000,screen_res_cleaned_3072x1920,screen_res_cleaned_3200x1800,screen_res_cleaned_3200x2000,screen_res_cleaned_3456x2160,screen_res_cleaned_3840x2160,screen_res_cleaned_3840x2400,screen_res_cleaned_720x1280,screen_res_cleaned_N/A,gpu_brand_AMD,gpu_brand_Intel,gpu_brand_NVIDIA,gpu_brand_Other,gpu_brand_Unknown,gpu_class_Discrete,gpu_class_Integrated,gpu_class_Unknown
Laptop Lenovo IdeaPad Slim 3 14IRH10 83K00008VN,15490000.0,18990000.0,Lenovo,Intel,,8,12,16,512.0,SSD,14.0,26,15490000.0,18.146762225969645,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,Intel UHD Graphics,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits, Màn hình chống chói, Độ phủ màu 45% NTSC",60Wh (Đầu tròn 65W (3 chân),Intel,0,Integrated,14644380.094043886,14566309.685779074,300.0,100.0,45.0,1.0,60.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop ASUS Vivobook 15 X1502VA-BQ885W,15990000.0,,ASUS,Intel,,8,12,16,512.0,SSD,15.6,27,15990000.0,19.129988593155893,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,Intel HD Graphics,1920 x 1080 pixels (FullHD),"Độ sáng 250nits, Độ phủ màu 45% NTSC, Màn hình chống chói, TÜV Rheinland-certified","42WHrs, 3S1P, 3-cell Li-ion",Intel,0,Integrated,14644380.094043886,14566309.685779074,250.0,100.0,45.0,1.0,42.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Acer Gaming Aspire 7 A715-59G-57TU,19990000.0,22990000.0,Acer,Intel,,8,12,16,512.0,SSD,15.6,26,19990000.0,14.483635983263598,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,"NVIDIA GeForce RTX 3050 6 GB, supporting 2560 NVIDIA CUDA Cores",1920 x 1080 pixels (FullHD),"Độ sáng 250nits, Độ phủ màu 45% NTSC, Acer ComfyView, Màn hình LCD TFT có đèn nền LED, Góc nhìn rộng lên đến 170 độ, Thiết kế siêu mỏng","Pin Li-ion 3 cell 54,8Wh, Bộ đổi nguồn AC 150W",NVIDIA,6,Discrete,21603861.43931257,21346578.81398885,250.0,100.0,45.0,0.0,8.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop HP 15-FC0086AU A6VV9PA,14090000.0,15190000.0,HP,AMD,Ryzen 5 7430U,6,12,16,512.0,SSD,15.6,26,14090000.0,14.255501691093574,7,81.9,0,1,0,0,0,1,0,0,0,0,0,0,AMD Radeon Graphics,1920 x 1080 pixels (FullHD),"Độ sáng 250 nits, Độ phủ màu 45% NTSC, Màn hình chống chói","3-cell, 41 Wh Li-ion polymer",AMD,0,Integrated,13931267.12328767,14566309.685779074,250.0,100.0,45.0,1.0,41.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Laptop Dell Inspiron 15 3530 J9XFD - Nhập khẩu chính hãng,15490000.0,16990000.0,Dell,Intel,,,,16,512.0,SSD,15.6,25,15490000.0,15.367008343265791,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,Intel Iris Xe Graphics,1920 x 1080 pixels (FullHD),Độ phủ màu 45% NTSC,"3 cell, 41Wh",Intel,0,Integrated,14665286.283891547,14587476.470588235,300.0,100.0,45.0,0.0,41.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Lenovo LOQ 15ARP10E 83S0004FVN,24590000.0,28990000.0,Lenovo,AMD,Ryzen 7 7735HS,8,16,16,512.0,SSD,15.6,27,24590000.0,18.146762225969645,7,122.85,0,1,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 4050 6GB GDDR6, Boost Clock 1605MHz, TGP 65W, 194 AI TOPS",1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Màn hình chống chói, Độ phủ màu 100% sRGB, FreeSync","57.5Wh, 135W Slim Tip (3-pin)",NVIDIA,6,Discrete,21962005.347593583,21636442.211055275,300.0,100.0,45.0,1.0,5.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop ASUS Vivobook S14 S3407QA-SF043WS,18990000.0,22990000.0,ASUS,Other,,8,8,16,512.0,SSD,14.0,27,18990000.0,19.129988593155893,0,40.0,0,0,0,0,0,0,0,0,0,1,0,0,Qualcomm Adreno GPU,1920 x 1200 pixels,"Độ sáng 300 nits, Độ phủ màu 95% DCI-P3, Tỷ lệ tương phản 1.000.000:1, 1.07 tỷ màu, Màn hình chống chói, giảm 70% ánh sáng xanh có hại, Được chứng nhận bởi TÜV Rheinland","70WHrs, 3S1P, 3-cell Li-ion",Other,0,Integrated,18138333.33333333,14585734.54782043,300.0,100.0,45.0,1.0,70.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Laptop ASUS ROG Strix G16 G615JMR-S5155W,44990000.0,46990000.0,ASUS,Intel,Core i7 14650HX,16,24,32,1024.0,SSD,16.0,23,44990000.0,19.129988593155893,14,168.0,1,0,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 5060 8GB GDDR7
Intel UHD Graphics",2560 x 1600 (WQXGA),"Độ sáng 500nits, Độ phủ màu DCI-P3 100%, Màn hình chống chói, G-Sync, ROG Nebula Display, Dolby Vision HDR, ROG intelligent cooling","90WHrs, 4S1P, 4-cell Li-ion",NVIDIA,8,Discrete,21962005.347593583,21636442.211055275,500.0,100.0,45.0,1.0,90.0,3.0,2560x1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Lenovo IdeaPad Slim 5 OLED 14AKP10 83HX001JVN,25490000.0,31490000.0,Lenovo,AMD,,8,16,32,1024.0,SSD,14.0,28,25490000.0,18.146762225969645,0,40.0,0,1,0,0,0,0,0,0,1,0,0,0,AMD Radeon 860M Graphics,1920 x 1200 pixels (WUXGA),"Độ sáng 400nits Glossy, Độ phủ màu 100% DCI-P3, DisplayHDR True Black 500",60Wh (65W USB-C Slim (Wall-mount)),AMD,0,Integrated,13985765.472312704,14561476.466795616,400.0,100.0,45.0,0.0,60.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Laptop ASUS Zenbook 14 UM3406KA-PP113WS,25990000.0,28990000.0,ASUS,AMD,,8,16,16,512.0,SSD,14.0,28,25990000.0,19.129988593155893,0,40.0,0,1,0,0,0,0,0,0,0,1,0,0,AMD Radeon Graphics,2880 x 1800 pixels,"Độ sáng 400nits, Độ sáng đỉnh HDR 600nits, Độ phủ màu 100% DCI-P3, VESA CERTIFIED Display HDR True Black 600, 1.07 tỷ màu, Ánh sáng xanh ít gây hại hơn 70%, TÜV Rheinland-certified, SGS Eye Care Display","75WHrs, 4S1P, 4-cell Li-ion",AMD,0,Integrated,14109735.09933775,14587476.470588235,400.0,100.0,45.0,0.0,75.0,3.0,2880x1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Laptop ASUS Gaming V16 V3607VM-RP044W,33990000.0,37990000.0,ASUS,Intel,,10,16,16,1024.0,SSD,16.0,26,33990000.0,19.129988593155893,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 5060 8GB GDDR7
Intel Graphics",1920 x 1200 pixels (WUXGA),"Độ sáng 300nits, Độ phủ màu 45% NTSC, Màn hình chống chói","63WHrs, 3S1P, 3-cell Li-ion",NVIDIA,8,Discrete,21989757.80409042,21652199.08583037,300.0,100.0,45.0,1.0,63.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop ASUS Gaming V16 V3607VU-RP343W,24490000.0,25490000.0,ASUS,Intel,,8,12,16,512.0,SSD,16.0,26,24490000.0,19.129988593155893,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 4050 6GB GDDR6 (194 AI TOPs)
Intel Graphics",1920 x 1200 pixels (WUXGA),"Màn hình chống chói, Độ sáng 300nits, Độ phủ màu 45% NTSC","63WHrs, 3S1P, 3-cell Li-ion",NVIDIA,6,Discrete,21989757.80409042,21652199.08583037,300.0,100.0,45.0,1.0,63.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Lenovo IdeaPad Slim 5 14Q8X9 83HL005AVN,18990000.0,23490000.0,Lenovo,Other,,8,,16,512.0,SSD,14.0,28,18990000.0,18.146762225969645,0,40.0,0,0,0,0,0,0,0,0,0,1,0,0,Qualcomm Adreno,1920 x 1200 pixels (WUXGA),"Độ sáng 400nits, Độ phủ màu 100% DCI-P3","57Wh, 65W USB-C Slim (Wall-mount)",Other,0,Integrated,19904677.41935484,14566309.685779074,400.0,100.0,45.0,0.0,57.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Laptop Dell 15 DC15250 79N4M - Nhập khẩu chính hãng,12490000.0,14490000.0,Dell,Intel,,,,16,512.0,SSD,15.6,25,12490000.0,15.367008343265791,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,Intel Graphics,1920 x 1080 pixels (FullHD),"Độ phủ màu 45% NTSC, Độ sáng 250 nits, Màn hình chống chói","3 cell, 41Wh",Intel,0,Integrated,14665286.283891547,14587476.470588235,250.0,100.0,45.0,1.0,41.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Dell 15 DC15255 DC5R5802W1,15990000.0,16990000.0,Dell,Other,Ryzen 5 7530U,,,16,512.0,SSD,15.6,26,15990000.0,15.367008343265791,7,81.9,0,0,0,0,0,1,0,0,0,0,0,0,AMD Radeon Graphics,1920 x 1080 pixels (FullHD),"Độ phủ màu 45% NTSC, Độ sáng 250 nits, Màn hình chống chói","3-Cell Battery, 41WHr",AMD,0,Integrated,13985765.472312704,14561476.466795616,250.0,100.0,45.0,1.0,41.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Laptop MSI Katana 15 B13UDXK-2270VN V2,20990000.0,22990000.0,MSI,Intel,,12,,16,1024.0,SSD,15.6,27,20990000.0,18.94291379310345,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 3050 6GB
Intel Iris Xe Graphics",1920 x 1080 pixels (FullHD),Màn hình chống chói,3-Cell,NVIDIA,6,Discrete,21658765.770707622,21341011.81304571,300.0,100.0,45.0,1.0,50.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Lenovo LOQ 15IRX10 83JE00PEVN,31990000.0,37990000.0,Lenovo,Intel,,14,20,16,512.0,SSD,15.6,26,31990000.0,18.146762225969645,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 5050 8GB GDDR7, Boost Clock 2370MHz, TGP 100W, 440 AI TOPS",1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Màn hình chống chói, Độ phủ màu 100% sRGB, G-SYNC","60Wh, 170W Slim Tip (3-pin)",NVIDIA,8,Discrete,21603861.43931257,21346578.81398885,300.0,100.0,45.0,1.0,60.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop HP Victus 15-FB3116AX BX8U4PA,23690000.0,25990000.0,HP,AMD,Ryzen 7 7445HS,6,12,16,512.0,SSD,15.6,28,23690000.0,14.255501691093574,7,122.85,0,1,0,0,0,0,0,0,1,0,0,0,NVIDIA GeForce RTX 3050 6GB GDDR6,1920 x 1080 pixels (FullHD),"Màn hình chống chói, Độ sáng 300 nits, Độ phủ màu 62.5% sRGB","3-cell, 52.5 Wh Li-ion polymer",NVIDIA,6,Discrete,21989757.80409042,21652199.08583037,300.0,62.5,45.0,1.0,5.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop MSI Modern 14 F13MG-240VNCP,14990000.0,15790000.0,MSI,Intel,,10,12,16,512.0,SSD,14.0,28,14990000.0,18.94291379310345,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,Intel Graphics,1920 x 1080 pixels (FullHD),"Độ sáng 250 nits, Độ phủ màu 45% NTSC, Màn hình chống chói",3 Cell Int (46.8Wh),Intel,0,Integrated,14644380.094043886,14566309.685779074,250.0,100.0,45.0,1.0,8.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop HP Victus 15-FA2731TX B85LNPA,21690000.0,24045000.0,HP,Intel,,8,,16,512.0,SSD,15.6,23,21690000.0,14.255501691093574,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,"NVIDIA GeForce RTX 3050 (6GB of GDDR6 SDRAM, Bus Width: 96- bit)
Intel UHD Graphics",1920 x 1080 pixels (FullHD),Màn hình chống chói,3 Cell Int (52.5Wh),NVIDIA,6,Discrete,21962005.347593583,21636442.211055275,300.0,100.0,45.0,1.0,5.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Lenovo Legion 5 15IRX10 83LY00HRVN,34190000.0,40990000.0,Lenovo,Intel,,14,20,16,512.0,SSD,15.3,25,34190000.0,18.146762225969645,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 5050 8GB GDDR7, Boost Clock 2662MHz, TGP 115W, 440 AI TOPS",1920 x 1200 pixels (WUXGA),"Độ sáng 300nits, Màn hình chống chói, Độ phủ màu 100% sRGB, Dolby Vision","80Wh, 245W Slim Tip (3-pin)",NVIDIA,8,Discrete,21603861.43931257,21346578.81398885,300.0,100.0,45.0,1.0,80.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop MSI Gaming Thin 15 B13UC-3247VN,19190000.0,19590000.0,MSI,Intel,,,,16,512.0,,15.6,28,19190000.0,18.94291379310345,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,"NVIDIA GeForce RTX 3050
Intel UHD Graphics",1920 x 1080 pixels (FullHD),Độ phủ màu 45% NTSC,3CELLS/3S1P,NVIDIA,0,Discrete,21962005.347593583,21636442.211055275,300.0,100.0,45.0,0.0,50.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop ASUS Vivobook Go 14 E1404FA-EB482W,13890000.0,14190000.0,ASUS,AMD,Ryzen 5 7520U,4,8,16,512.0,SSD,14.0,26,13890000.0,19.129988593155893,7,81.9,0,1,0,0,0,0,0,0,1,0,0,0,AMD Radeon Graphics,1920 x 1080 pixels (FullHD),"Độ sáng 250 nits, Độ phủ màu 45% NTSC, Màn hình chống chói","42WHrs, 3S1P, 3-cell Li-ion",AMD,0,Integrated,13985765.472312704,14561476.466795616,250.0,100.0,45.0,1.0,42.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
